Archery,http://www.sportskeeda.com/archery/indian-archers-deepika-kumari-abhishek-verma-qualify-archery-world-cup-final/,Indian archers Deepika Kumari and Abhishek Verma qualify for Archery World Cup Final,News,Rohan Menon,news,2413218,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/deepika-kumari-1442058211-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/deepika-kumari-1442058211-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/deepika-kumari-1442058211-100.jpg,13,http://static.sportskeeda.com/wp-content/uploads/2015/09/deepika-kumari-1442058211-800.jpg
Football,http://www.sportskeeda.com/slideshow/5-facts-didnt-know-about-liverpool-manchester-united-rivalry/,5 facts your probably didn't know about the Liverpool-Manchester United rivalry,Spotlight,Naveen Ravi Joseph,slider,2413240,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-1442066228-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-1442066228-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-1442066228-100.jpg,278,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-1442066228-800.jpg
Football,http://www.sportskeeda.com/football/super-substitute-steven-naismith-perfect-hat-trick-goals-everton-3-1-chelsea/,Super substitute Steven Naismith's perfect hat-trick gives Everton 3-1 win over Chelsea,Report,Ed Ran,reports,2413270,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/everton-3-1-chelsea-steven-naismith-hat-trick-1442065448-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/everton-3-1-chelsea-steven-naismith-hat-trick-1442065448-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/everton-3-1-chelsea-steven-naismith-hat-trick-1442065448-100.jpg,163,http://static.sportskeeda.com/wp-content/uploads/2015/09/everton-3-1-chelsea-steven-naismith-hat-trick-1442065448-800.jpg
Cricket,http://www.sportskeeda.com/cricket/kpl-belagavi-panthers-canter-qualifiers-namma-shivamogga/,KPL 2015: Belagavi Panthers canter in qualifiers against Namma Shivamogga,Report,FoMA,reports,2413253,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/kpl-1442060405-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/kpl-1442060405-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/kpl-1442060405-100.jpg,43,http://static.sportskeeda.com/wp-content/uploads/2015/09/kpl-1442060405-800.jpg
Hockey,http://www.sportskeeda.com/hockey/japan-beat-india-semifinals-junior-asia-cup/,Japan beat India in the semifinals of the Junior Asia Cup,Report,Shankar Narayan,reports,2413247,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/hockey-1442059111-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/hockey-1442059111-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/hockey-1442059111-100.jpg,59,http://static.sportskeeda.com/wp-content/uploads/2015/09/hockey-1442059111-800.jpg
Gaming,http://www.sportskeeda.com/slideshow/gaming-ranking-the-best-call-of-duty-games/,Ranking the best Call of Duty games,Top 5 / Top 10,Arjunveer Singh,top-5-top-10,2412912,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/1-1441970056-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/1-1441970056-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/1-1441970056-100.jpg,68,http://static.sportskeeda.com/wp-content/uploads/2015/09/1-1441970056-800.jpg
WWE,http://www.sportskeeda.com/wwe/wwe-ambrose-being-authentic-and-facing-the-dudleyz/,"Dean Ambrose on ""being authentic"" and facing the Dudleyz",News,Nidhi Sharma,news,2413215,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/bros-1442053387-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/bros-1442053387-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/bros-1442053387-100.jpg,224,http://static.sportskeeda.com/wp-content/uploads/2015/09/bros-1442053387-800.jpg
Football,http://www.sportskeeda.com/football/manchester-united-vs-liverpool-preview-match-time-where-watch-live-stream-possible-line-ups/,"Manchester United vs Liverpool preview: Match time, where to watch live, possible line-ups",Preview,Ed Ran,preview,2413230,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-preview-match-time-where-watch-live-stream-possible-line-ups-1442057410-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-preview-match-time-where-watch-live-stream-possible-line-ups-1442057410-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-preview-match-time-where-watch-live-stream-possible-line-ups-1442057410-100.jpg,1718,http://static.sportskeeda.com/wp-content/uploads/2015/09/manchester-united-vs-liverpool-preview-match-time-where-watch-live-stream-possible-line-ups-1442057410-800.jpg
MMA,http://www.sportskeeda.com/mma/ufc-why-demetrious-johnson-is-the-unsung-hero-of-our-times/,Why Demetrious Johnson is the unsung hero of our times,Opinion,Sukhmeet Sandhu,opinion,2413158,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/i-1442038323-600.jpeg,http://static.sportskeeda.com/wp-content/uploads/2015/09/i-1442038323-800.jpeg,http://static.sportskeeda.com/wp-content/uploads/2015/09/i-1442038323-100.jpeg,48,http://static.sportskeeda.com/wp-content/uploads/2015/09/i-1442038323-800.jpeg
WWE,http://www.sportskeeda.com/wwe/stings-arrival-john-cena-back-as-co-host-and-more-on-wwe-signing-a-pro-athlete/,"Sting's arrival, John Cena back as Co-Host and more on WWE signing a Pro Athlete",News,Nidhi Sharma,news,2413202,Sep 12 2015,http://static.sportskeeda.com/wp-content/uploads/2015/09/danv-1442050385-600.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/danv-1442050385-800.jpg,http://static.sportskeeda.com/wp-content/uploads/2015/09/danv-1442050385-100.jpg,185,http://static.sportskeeda.com/wp-content/uploads/2015/09/danv-1442050385-800.jpg
